borough,county_fips,hood_code,hood_name,pop_2000,pop_2010,pop_change,pop_perc_change
Staten Island,085,SI32,Rossville-Woodrow,"18,894","20,763","1,869",9.9
Staten Island,085,SI35,New Brighton-Silver Lake,"16,784","17,525",741,4.4
Staten Island,085,SI36,Old Town-Dongan Hills-South Beach,"23,017","24,835","1,818",7.9
Staten Island,085,SI37,Stapleton-Rosebank,"24,048","26,453","2,405",10.0
Staten Island,085,SI45,New Dorp-Midland Beach,"20,242","21,896","1,654",8.2
Staten Island,085,SI48,Arden Heights,"24,996","25,238",242,1.0
Staten Island,085,SI54,Great Kills,"41,680","40,720",-960,-2.3
Staten Island,085,SI99,park-cemetery-etc-Staten Island,7,0,-7,-100.0
,,,,,,,
,,,,,,,
,,,,,,,
"*Neighborhood Tabulation Areas, or NTAs, are aggregations of census tracts that are subsets of New York City's 55 Public Use Microdata Areas (PUMAs). ",,,,,,,
"Primarily due to these constraints, NTA boundaries and their associated names may not definitively represent neighborhoods.",,,,,,,
